,Venue,City,Country,Date,Year,Setlist,State
10,Empire Pool,Wembley,England,1972-04-08,1972,"['bertha', 'me and my uncle', 'mr. charlie', 'deal', 'black throated wind', 'next time you see me', 'cumberland blues', 'brown eyed women', 'beat it on down the line', 'tennessee jed', 'playing in the band', ""good lovin'"", 'looks like rain', 'casey jones', ""truckin'"", 'hurts me too', 'dark star', 'sugar magnolia', 'caution', 'one more saturday night']",N/A
11,City Hall,Newcastle,England,1972-04-11,1972,"['greatest story ever told', 'deal', 'mr charlie', 'black throated wind', 'tennessee jed', 'big boss man', 'beat it on down the line', 'sugaree', 'jack straw', 'chinatown shuffle', 'china cat sunflower', 'i know you rider', 'playing in the band', 'next time you see me', 'brown eyed women', 'looks like rain', 'big railroad blues', 'casey jones', ""good lovin'"", 'ramble on rose', ""truckin'"", 'drums', 'the other one', 'comes a time', 'sugar magnolia', 'brokedown palace']",N/A
12,Tivoii Theater,Copenhagen,Denmark,1972-04-14,1972,"['bertha', 'me and my uncle', 'mr. charlie', 'you win again', 'black throated wind', 'chinatown shuffle', 'loser', 'me and bobby mcgee', 'cumberland blues', 'playing in the band', 'tennessee jed', 'el paso', 'big boss man', 'beat it on down the line', 'casey jones', ""truckin'"", 'hurts me too', 'brown eyed women', 'looks like rain', 'dark star', 'sugar magnolia', ""good lovin'"", 'caution', 'who do you love', 'caution', ""good lovin'"", 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",N/A
13,Tivoli Theater,Copenhagen,Denmark,1972-04-15,1972,['unknown'],N/A
14,Aarhus University,Aarhus,Denmark,1972-04-16,1972,"['greatest story ever told', 'sugaree', 'chinatown shuffle', 'black throated wind', 'tennessee jed', 'mr. charlie', 'beat it on down the line', 'china cat sunflower', 'i know you rider', 'mexicali blues', 'loser', 'next time you see me', 'playing in the band', 'dire wolf', ""good lovin'"", 'cumberland blues', 'el paso', 'deal', ""truckin'"", 'caution', ""uncle john's band"", 'the other one', 'not fade away', ""goin' down the road feeling bad"", 'not fade away']",N/A
15,Tivoii Gardens,Copenhagen,Denmark,1972-04-17,1972,"['cold rain and snow', 'me and bobby mcgee', 'chinatown shuffle', 'sugaree', 'black throated wind', 'mr. charlie', 'china cat sunflower', 'i know you rider', 'jack straw', ""he's gone"", 'next time you see me', 'playing in the band', 'casey jones', 'one more saturday night', 'hurts me too', 'ramble on rose', 'el paso', 'big railroad blues', ""truckin'"", 'dark star', 'sugar magnolia', 'caution', 'johnny b. goode']",N/A
16,Beat Club,Bremen,West Germany,1972-04-21,1972,"['bertha', 'playing in the band', 'mr. charlie', 'sugaree', ""truckin'"", 'the other one', 'one more saturday night']",N/A
17,Rheinhalle,Dusseldorf,West Germany,1972-04-24,1972,"[""truckin'"", 'tennessee jed', 'chinatown shuffle', 'black throated wind', 'china cat sunflower', 'i know you rider', 'mr. charlie', 'beat it on down the line', 'loser', 'playing in the band', 'next time you see me', 'me and bobby mcgee', ""good lovin'"", 'casey jones', ""he's gone"", 'hurts me too', 'el paso', 'dark star', 'me and my uncle', 'wharf rat', 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",N/A
18,Jahrhundert Halle,Frankfurt,West Germany,1972-04-26,1972,"['bertha', 'me and my uncle', 'mr. charlie', ""he's gone"", 'black throated wind', 'next time you see me', 'china cat sunflower', 'i know you rider', 'jack straw', 'big railroad blues', 'playing in the band', 'chinatown shuffle', 'loser', 'beat it on down the line', 'you win again', ""good lovin'"", 'dire wolf', ""truckin'"", 'drums', 'the other one', 'comes a time', 'sugar magnolia', 'el paso', 'tennessee jed', 'greatest story ever told', 'two souls in communion', 'casey jones', 'turn on your lovelight', ""goin' down the road feeling bad"", 'one more saturday night']",N/A
19,Musikhalle,Hamburg,West Germany,1972-04-29,1972,"['playing in the band', 'sugaree', 'mr. charlie', 'black throated wind', 'china cat sunflower', 'i know you rider', 'big boss man', 'jack straw', 'loser', 'chinatown shuffle', 'me and my uncle', 'big railroad blues', ""good lovin'"", 'casey jones', 'greatest story ever told', ""he's gone"", 'next time you see me', 'dark star', 'sugar magnolia', 'caution', 'who do you love', 'one more saturday night', ""uncle john's band""]",N/A
20,Olympia Theater,Paris,France,1972-05-03,1972,"['bertha', 'me and my uncle', 'mr. charlie', 'sugaree', 'black throated wind', 'chinatown shuffle', 'china cat sunflower', 'i know you rider', 'beat it on down the line', ""he's gone"", 'next time you see me', 'playing in the band', ""good lovin'"", 'sing me back home', 'casey jones', 'greatest story ever told', 'ramble on rose', 'hurts me too', ""truckin'"", 'the other one', 'drums', 'the other one', 'me and bobby mcgee', 'the other one', 'wharf rat', 'jack straw', 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",N/A
21,Olympia Theater,Paris,France,1972-05-04,1972,"['greatest story ever told', 'deal', 'mr. charlie', 'beat it on down the line', 'brown eyed women', 'chinatown shuffle', 'playing in the band', 'you win again', 'hurts me too', ""he's gone"", 'el paso', 'big railroad blues', 'two souls in communion', 'casey jones', ""good lovin'"", 'next time you see me', 'ramble on rose', 'jack straw', 'dark star', 'drums', 'dark star', 'sugar magnolla', 'sing me back home', 'mexicali blues', 'big boss man', ""uncle john's band"", 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",N/A
22,Bickershaw Festival,Wigan,England,1972-05-07,1972,"[""truckin'"", 'sugaree', 'mr. charlie', 'deal', 'beat it on down the line', ""he's gone"", 'chinatown shuffle', 'china cat sunflower', 'i know you rider', 'black throated wind', 'next time you see me', 'playing in the band', 'tennessee jed', ""good lovin'"", 'casey jones', 'greatest story ever told', 'big boss man', 'ramble on rose', 'jack straw', 'dark star', 'drums', 'the other one', 'sing me back home', 'sugar magnolia', 'turn on your lovelight', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",N/A
23,Concertgebouw,Amsterdam,Netherlands,1972-05-10,1972,"['bertha', 'me and my uncle', 'mr. charlie', 'china cat sunflower', 'i know you rider', 'black throated wind', 'next time you see me', 'loser', 'jack straw', ""he's gone"", 'chinatown shuffle', 'playing in the band', 'big railroad blues', 'big boss man', 'greatest story ever told', 'casey jones', ""truckin'"", 'drums', 'the other one', 'bobby mcgee', 'the other one', 'wharf rat', 'beat it on down the line', 'two souls in communion', 'ramble  on', 'sing me back home', 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away']",N/A
24,Civic Hall,Rotterdam,Netherlands,1972-05-11,1972,"['playing in the band', 'sugaree', 'mr. charlie', 'black throated wind', 'deal', 'chinatown shuffle', 'mexicali blues', 'china cat sunflower', 'i know you rider', 'hurts me too', 'beat it on down the line', 'brown eyed women', 'jack straw', 'big railroad blues', 'casey jones', ""good lovin'"", 'morning dew', 'me and my uncle', 'two souls in communion', 'el paso', 'tennessee jed', 'next time you see me', 'dark star', 'drums', 'dark star', 'sugar magnolia', 'caution', 'who do you love', 'caution', ""truckin'"", ""uncle john's band"", 'one more saturday night']",N/A
25,Fairgrounds,Lille,France,1972-05-13,1972,"['bertha', 'black throated wind', 'chinatown shuffle', 'loser', 'beat it on down the line', 'mr. charlie', 'china cat sunflower', 'i know you rider', 'me and my uncle', 'big railroad blues', 'next time you see me', 'playing in the band', 'sugaree', 'mexicali blues', 'casey jones', ""truckin'"", 'drums', 'the other one', 'big river', ""he's gone"", 'hurts me too', 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",N/A
