,Venue,City,Country,Date,Year,Setlist,State
274,Baltimore Civic Center,Baltimore,USA,1977-05-26,1977,"['music never stopped', 'sugaree', 'mama tried', 'sunrise', 'deal', 'passenger', 'brown eyed women', 'looks like rain', 'jack-a-roe', 'new minglewood blues', 'bertha', 'samson and delilah', 'high time', 'big river', 'terrapin station', 'estimated prophet', 'eyes of the world', 'not fade away', ""goin' down the road feelin' bad"", 'around and around', ""uncle john's band""]",MD
275,Hartford Civic Center,Hartford,USA,1977-05-28,1977,"['bertha', ""good lovin'"", 'sugaree', 'jack straw', 'row jimmy', 'new minglewood blues', 'candyman', 'passenger', 'brown eyed women', 'promised land', 'samson and delilah', 'tennessee jed', 'estimated prophet', ""playin' in the band"", 'terrapin station', 'not fade away', 'wharf rat', ""playin' in the band"", 'one more saturday night', 'u.s. blues']",CT
276,The Fabulous Forum,Inglewood,USA,1977-06-04,1977,"['promised land', 'tennessee jed', 'el paso', 'peggy-o', 'jack straw', 'friend of the devil', ""lazy lightnin'"", 'supplication', 'candyman', 'new minglewood blues', 'brown eyed women', 'music never stopped', 'samson and delilah', 'ship of fools', 'estimated prophet', 'eyes of the world', 'drums', ""good lovin'"", 'terrapin station', ""playin' in the band"", ""franklin's tower"", 'china doll', 'not fade away', ""playin' in the band"", 'one more saturday night']",CA
277,Winterland Arena,San Francisco,USA,1977-06-07,1977,"['bertha', 'jack straw', 'tennessee jed', 'looks like rain', 'peggy-o', 'funiculi funicula', 'el paso', 'friend of the devil', 'music never stopped', 'scarlet begonias', 'fire on the mountain', ""good lovin'"", 'candyman', 'estimated prophet', ""he's gone"", 'drums', 'samson and delilah', 'terrapin station', 'morning dew', 'around and around', ""uncle john's band"", 'u.s. blues']",CA
278,Winterland Arena,San Francisco,USA,1977-06-08,1977,"['new minglewood blues', 'sugaree', 'mexicali blues', 'row jimmy', 'passenger', 'sunrise', 'brown eyed women', ""it's all over now"", 'jack-a-roe', ""lazy lightnin'"", 'supplication', 'bertha', ""good lovin'"", 'ramble on rose', 'estimated prophet', 'eyes of the world', 'drums', 'the other one', 'wharf rat', 'not fade away', ""goin' down the road feelin' bad"", 'johnny b. goode', 'brokedown palace']",CA
279,Winterland Arena,San Francisco,USA,1977-06-09,1977,"['mississippi half-step', 'jack straw', 'they love each other', 'cassidy', 'sunrise', 'deal', 'looks like rain', 'loser', 'music never stopped', 'samson and delilah', 'funiculi funicula', 'help on the way', 'slipknot!', ""franklin's tower"", 'estimated prophet', 'st. stephen', 'not fade away', 'drums', 'st. stephen', 'terrapin station', 'sugar magnolia', 'u.s. blues', 'one more saturday night']",CA
280,Raceway Park,Englishtown,USA,1977-09-03,1977,"['promised land', 'they love each other', 'me and my uncle', 'mississippi half-step', 'looks like rain', 'peggy-o', 'new minglewood blues', 'friend of the devil', 'music never stopped', 'bertha', ""good lovin'"", 'loser', 'estimated prophet', 'eyes of the world', 'samson and delilah', ""he's gone"", 'not fade away', ""truckin'"", 'terrapin station']",NJ
281,Paramount Northeast,Seattle,USA,1977-09-28,1977,"['new minglewood blues', 'they love each other', 'cassidy', 'loser', 'jack straw', 'tennessee jed', 'passenger', 'peggy-o', 'me and my uncle', 'friend of the devil', 'music never stopped', 'bertha', ""good lovin'"", 'dire wolf', 'estimated prophet', 'eyes of the world', 'drums', 'not fade away', 'wharf rat', 'around and around', 'u.s. blues']",WA
282,Paramount Northwest,Seattle,USA,1977-09-29,1977,"['mississippi half-step', 'mama tried', 'deal', 'looks like rain', 'ramble on rose', 'el paso', 'sugaree', 'let it grow', ""franklin's tower"", 'samson and delilah', 'ship of fools', 'estimated prophet', ""he's gone"", 'drums', ""truckin'"", 'stella blue', ""goin' down the road feelin' bad"", 'johnny b. goode', ""uncle john's band""]",WA
283,Paramount Theater,Portland,USA,1977-10-01,1977,"['promised land', 'they love each other', 'mexicali blues', 'dire wolf', 'cassidy', 'deal', 'passenger', 'tennessee jed', 'new minglewood blues', 'peggy-o', 'music never stopped', 'bertha', ""good lovin'"", 'it must have been the roses', 'estimated prophet', 'eyes of the world', ""dancin' in the streets"", 'drums', 'not fade away', 'black peter', 'around and around']",OR
284,Paramount Theater,Portland,USA,1977-10-02,1977,"['casey jones', 'jack straw', 'sunrise', 'brown eyed women', 'el paso', ""dupree's diamond blues"", 'let it grow', 'deal', 'samson and delilah', 'scarlet begonias', 'fire on the mountain', 'funiculi funicula', ""playin' in the band"", 'drums', 'the wheel', ""truckin'"", 'the other one', 'wharf rat', 'sugar magnolia', 'johnny b. goode']",OR
285,Arizona State University,Tempe,USA,1977-10-06,1977,"['promised land', 'tennessee jed', 'jack straw', 'dire wolf', 'looks like rain', 'loser', 'new minglewood blues', 'they love each other', 'music never stopped', 'bertha', ""good lovin'"", 'friend of the devil', 'estimated prophet', 'eyes of the world', 'drums', 'not fade away', 'black peter', 'not fade away', 'around and around', ""uncle john's band""]",AZ
286,University of New Mexico,Albuquerque,USA,1977-10-07,1977,"['mississippi half-step', 'jack straw', 'peggy-o', 'el paso', 'they love each other', 'big river', ""dupree's diamond blues"", 'let it grow', 'deal', 'samson and delilah', 'sunrise', 'ramble on rose', 'passenger', 'terrapin station', ""playin' in the band"", 'drums', 'iko iko', 'the wheel', 'wharf rat', 'sugar magnolia', 'one more saturday night']",NM
287,McNichols Sports Arena,Denver,USA,1977-10-09,1977,"['promised land', 'they love each other', 'cassidy', 'dire wolf', 'looks like rain', 'brown eyed women', ""lazy lightnin'"", 'supplication', 'sugaree', 'music never stopped', 'samson and delilah', 'scarlet begonias', 'fire on the mountain', 'estimated prophet', ""he's gone"", ""truckin'"", 'drums', 'terrapin station', 'around and around', 'casey jones']",CO
288,Lloyd Noble Center (U of Oklahoma),Norman,USA,1977-10-11,1977,"['help on the way', 'slipknot!', ""franklin's tower"", 'jack straw', 'peggy-o', 'el paso', 'sunrise', 'deal', 'let it grow', ""dancin' in the streets"", 'dire wolf', 'estimated prophet', 'eyes of the world', 'not fade away', 'wharf rat', 'around and around']",OK
289,Manor Downs,Austin,USA,1977-10-12,1977,"['promised land', 'they love each other', 'me and my uncle', 'candyman', 'passenger', 'brown eyed women', 'el paso', 'friend of the devil', ""lazy lightnin'"", 'supplication', 'deal', 'samson and delilah', 'tennessee jed', 'estimated prophet', ""he's gone"", 'drums', 'the other one', 'black peter', ""truckin'"", ""nobody's fault but mine"", 'iko iko', 'sugar magnolia', 'johnny b. goode']",TX
290,Hofheinz Pavilion,Houston,USA,1977-10-14,1977,"['jack straw', 'mississippi half-step', 'el paso', 'brown eyed women', 'new minglewood blues', 'loser', 'passenger', 'friend of the devil', 'me and my uncle', 'tennessee jed', 'music never stopped', 'bertha', ""good lovin'"", 'candyman', ""playin' in the band"", 'drums', 'the wheel', 'wharf rat', 'around and around', 'brokedown palace', ""playin' in the band""]",TX
291,Moody Coliseum (SMU),Dallas,USA,1977-10-15,1977,"['bertha', ""good lovin'"", 'they love each other', 'mama tried', 'big river', 'ramble on rose', 'looks like rain', 'peggy-o', 'let it grow', 'samson and delilah', 'sunrise', 'terrapin station', 'st. stephen', 'not fade away', 'stella blue', 'sugar magnolia', ""truckin'"", 'one more saturday night']",TX
292,Assembly Center (Lousiana State U),Baton Rouge,USA,1977-10-16,1977,"['promised land', 'sugaree', 'cassidy', 'loser', 'new minglewood blues', 'friend of the devil', 'sunrise', 'dire wolf', 'music never stopped', 'scarlet begonias', 'fire on the mountain', 'estimated prophet', 'drums', 'the other one', ""good lovin'"", 'terrapin station', 'black peter', 'around and around', 'u.s. blues']",LA
293,Soldiers' and Sailors' Memorial Hall,Kansas City,USA,1977-10-28,1977,"['promised land', 'they love each other', 'cassidy', 'tennessee jed', 'mexicali blues', 'big river', 'brown eyed women', ""lazy lightnin'"", 'supplication', 'deal', 'samson and delilah', 'candyman', 'sunrise', 'passenger', ""he's gone"", 'drums', 'not fade away', 'stella blue', ""goin' down the road feelin' bad"", 'around and around', 'casey jones']",KS
294,Field House (Northern Illinois U),De Kalb,USA,1977-10-29,1977,"['might as well', 'jack straw', 'dire wolf', 'looks like rain', 'loser', 'el paso', 'ramble on rose', 'new minglewood blues', 'it must have been the roses', 'let it grow', 'bertha', ""good lovin'"", 'friend of the devil', 'estimated prophet', 'eyes of the world', 'st. stephen', 'not fade away', 'black peter', 'sugar magnolia', 'drums', 'sunshine daydream', 'one more saturday night']",IL
295,Assembly Hall (Indiana U),Bloomington,USA,1977-10-30,1977,"['new minglewood blues', 'they love each other', 'mama tried', 'me and my uncle', 'tennessee jed', 'passenger', 'candyman', ""lazy lightnin'"", 'supplication', 'deal', 'samson and delilah', 'peggy-o', ""playin' in the band"", 'the other one', 'drums', 'the wheel', 'wharf rat', ""playin' in the band"", 'johnny b. goode']",IN
296,COBO Arena,Detroit,USA,1977-11-01,1977,"['might as well', 'jack straw', 'tennessee jed', 'el paso', 'friend of the devil', 'looks like rain', 'dire wolf', 'passenger', 'peggy-o', 'music never stopped', 'terrapin station', 'estimated prophet', 'the other one', 'drums', 'wharf rat', ""truckin'"", 'around and around', 'u.s. blues']",MI
297,Field House (Seneca College),Toronto,Canada,1977-11-02,1977,"['promised land', 'they love each other', 'me and my uncle', 'big river', 'candyman', 'looks like rain', 'ramble on rose', ""lazy lightnin'"", 'supplication', 'might as well', 'samson and delilah', 'ship of fools', ""good lovin'"", 'sunrise', 'scarlet begonias', 'fire on the mountain', 'estimated prophet', 'st. stephen', ""truckin'"", 'around and around', 'terrapin station']",N/A
298,Cotterrell Gym (Colgate U),Hamilton,USA,1977-11-04,1977,"['bertha', ""good lovin'"", 'brown eyed women', 'cassidy', 'it must have been the roses', 'sunrise', 'new minglewood blues', ""dupree's diamond blues"", 'let it grow', 'samson and delilah', 'cold rain and snow', ""playin' in the band"", 'eyes of the world', 'estimated prophet', 'the other one', 'drums', 'iko iko', 'stella blue', ""playin' in the band"", 'johnny b. goode']",NY
299,War Memorial Auditorium,Rochester,USA,1977-11-05,1977,"['new minglewood blues', 'mississippi half-step', 'looks like rain', 'dire wolf', 'mama tried', 'big river', 'candyman', 'jack straw', 'deal', 'eyes of the world', 'samson and delilah', 'it must have been the roses', 'estimated prophet', ""he's gone"", 'drums', 'the other one', 'black peter', 'sugar magnolia', 'one more saturday night']",NY
300,Broome County Arena,Binghamton,USA,1977-11-06,1977,"['mississippi half-step', 'jack straw', 'tennessee jed', 'mexicali blues', 'me and my uncle', 'friend of the devil', 'new minglewood blues', ""dupree's diamond blues"", 'passenger', 'dire wolf', 'music never stopped', 'samson and delilah', 'sunrise', 'scarlet begonias', 'fire on the mountain', ""good lovin'"", 'st. stephen', 'drums', 'not fade away', 'wharf rat', 'st. stephen', ""truckin'"", 'johnny b. goode']",NY
301,Winterland Arena,San Francisco,USA,1977-12-27,1977,"['bertha', ""good lovin'"", 'brown eyed women', 'cassidy', 'peggy-o', 'looks like rain', 'dire wolf', 'passenger', 'candyman', 'el paso', 'friend of the devil', 'music never stopped', 'cold rain and snow', ""lazy lightnin'"", 'supplication', 'scarlet begonias', 'fire on the mountain', 'estimated prophet', ""he's gone"", ""truckin'"", 'wharf rat', 'around and around', 'samson and delilah']",CA
302,Winterland Arena,San Francisco,USA,1977-12-29,1977,"['jack straw', 'they love each other', 'mama tried', 'loser', 'looks like rain', 'tennessee jed', 'new minglewood blues', 'sugaree', 'promised land', 'bertha', ""good lovin'"", 'it must have been the roses', 'sunrise', ""playin' in the band"", 'china cat sunflower', 'i know you rider', 'china doll', ""playin' in the band"", 'drums', 'not fade away', ""playin' in the band"", 'terrapin station', 'johnny b. goode']",CA
303,Winterland Arena,San Francisco,USA,1977-12-30,1977,"['mississippi half-step', 'me and my uncle', 'dire wolf', 'looks like rain', 'row jimmy', 'big river', 'peggy-o', 'passenger', 'ramble on rose', 'let it grow', 'samson and delilah', 'ship of fools', 'estimated prophet', 'eyes of the world', 'st. stephen', 'sugar magnolia', 'u.s. blues', ""good lovin'""]",CA
304,Winterland Arena,San Francisco,USA,1977-12-31,1977,"['music never stopped', 'tennessee jed', 'funiculi funicula', 'me and my uncle', 'loser', 'jack straw', 'friend of the devil', ""lazy lightnin'"", 'supplication', 'sugar magnolia', 'scarlet begonias', 'fire on the mountain', ""truckin'"", 'wharf rat', 'drums', 'not fade away', 'around and around', 'one more saturday night', 'casey jones']",CA
305,Swing Auditorium,San Bernardino,USA,1978-01-06,1978,"['promised land', 'dire wolf', 'mama tried', 'big river', 'loser', 'looks like rain', 'tennessee jed', 'new minglewood blues', 'deal', ""lazy lightnin'"", 'supplication', ""playin' in the band"", 'estimated prophet', 'drums', 'the other one', ""truckin'"", 'johnny b. goode']",CA
306,Golden Hall,San Diego,USA,1978-01-07,1978,"['new minglewood blues', 'cassidy', 'sunrise', 'passenger', 'mexicali blues', 'me and my uncle', 'looks like rain', 'el paso', 'let it grow', 'promised land', 'jack straw', ""dancin' in the streets"", 'samson and delilah', ""playin' in the band"", 'drums', 'not fade away', 'around and around', 'one more saturday night']",CA
307,Golden Hall,San Diego,USA,1978-01-08,1978,"['jack straw', 'mama tried', 'big river', 'sunrise', ""it's all over now"", 'looks like rain', ""lazy lightnin'"", 'supplication', 'samson and delilah', ""good lovin'"", 'estimated prophet', 'drums', 'the other one', ""truckin'"", 'sugar magnolia', 'johnny b. goode']",CA
308,Shrine Auditorium,Los Angeles,USA,1978-01-10,1978,"['bertha', ""good lovin'"", 'brown eyed women', 'mexicali blues', 'me and my uncle', 'friend of the devil', 'cassidy', 'candyman', 'passenger', 'sunrise', 'deal', 'music never stopped', 'jack straw', 'it must have been the roses', 'estimated prophet', ""he's gone"", 'drums', 'the other one', 'wharf rat', ""franklin's tower"", 'around and around', 'u.s. blues']",CA
309,Shrine Auditorium,Los Angeles,USA,1978-01-11,1978,"['new minglewood blues', 'dire wolf', 'looks like rain', 'they love each other', 'big river', 'el paso', 'brown eyed women', 'let it grow', 'samson and delilah', 'sunrise', 'terrapin station', ""playin' in the band"", 'st. stephen', 'not fade away', ""playin' in the band"", 'passenger']",CA
310,Arlington Theater,Santa Barbara,USA,1978-01-13,1978,"['mississippi half-step', 'mexicali blues', 'big river', 'candyman', ""it's all over now"", 'brown eyed women', 'beat it on down the line', 'friend of the devil', ""lazy lightnin'"", 'supplication', 'bertha', ""good lovin'"", 'sunrise', ""dancin' in the streets"", 'drums', 'wharf rat', ""truckin'"", 'around and around', 'sugar magnolia']",CA
311,Bakersfield Civic Auditorium,Bakersfield,USA,1978-01-14,1978,"['jack straw', 'dire wolf', 'cassidy', 'they love each other', 'mama tried', 'me and my uncle', 'loser', 'looks like rain', 'deal', 'let it grow', 'samson and delilah', 'candyman', 'estimated prophet', 'eyes of the world', 'not fade away', 'one more saturday night']",CA
312,Selland Arena,Fresno,USA,1978-01-15,1978,"['bertha', ""good lovin'"", 'dire wolf', 'mexicali blues', 'big river', 'it must have been the roses', 'passenger', 'brown eyed women', 'music never stopped', 'samson and delilah', 'friend of the devil', 'sunrise', 'terrapin station', ""playin' in the band"", 'wharf rat', 'sugar magnolia']",CA
313,Sacramento Memorial Auditorium,Sacramento,USA,1978-01-17,1978,"['promised land', 'dire wolf', 'cassidy', 'loser', 'looks like rain', 'row jimmy', 'new minglewood blues', 'it must have been the roses', 'music never stopped', 'bertha', ""good lovin'"", 'candyman', 'estimated prophet', ""he's gone"", 'drums', 'the other one', 'black peter', ""truckin'"", 'around and around', 'u.s. blues']",CA
314,Stockton Civic Aud.,Stockton,USA,1978-01-18,1978,"['mississippi half-step', 'mama tried', 'me and my uncle', 'peggy-o', 'jack straw', 'friend of the devil', ""it's all over now"", 'row jimmy', ""lazy lightnin'"", 'supplication', 'terrapin station', ""playin' in the band"", 'passenger', 'estimated prophet', 'stella blue', 'sugar magnolia', 'around and around']",CA
315,McArthur Court (U of Oregon),Eugene,USA,1978-01-22,1978,"['new minglewood blues', 'dire wolf', 'cassidy', 'peggy-o', 'el paso', 'tennessee jed', 'jack straw', 'row jimmy', 'music never stopped', 'bertha', ""good lovin'"", 'ship of fools', 'samson and delilah', 'terrapin station', 'drums', 'the other one', 'close encounters', 'st. stephen', 'not fade away', 'around and around', 'u.s. blues']",OR
316,Uptown Theater,Chicago,USA,1978-01-30,1978,"['promised land', 'dire wolf', 'mexicali blues', 'big river', 'brown eyed women', 'looks like rain', 'peggy-o', ""it's all over now"", 'deal', ""lazy lightnin'"", 'supplication', 'bertha', ""good lovin'"", 'ship of fools', 'estimated prophet', 'eyes of the world', 'stella blue', ""franklin's tower"", 'around and around', 'johnny b. goode']",IL
317,Uptown Theater,Chicago,USA,1978-01-31,1978,"['mississippi half-step', 'passenger', 'tennessee jed', 'el paso', 'candyman', 'new minglewood blues', 'they love each other', 'let it grow', 'scarlet begonias', 'fire on the mountain', 'samson and delilah', 'terrapin station', ""playin' in the band"", 'black peter', ""truckin'"", ""good lovin'""]",IL
318,Uptown Theater,Chicago,USA,1978-02-01,1978,"['jack straw', 'friend of the devil', 'mama tried', 'me and my uncle', 'ramble on rose', 'cassidy', 'sunrise', 'sugaree', 'music never stopped', 'samson and delilah', 'it must have been the roses', 'estimated prophet', ""he's gone"", 'the other one', 'wharf rat', 'sugar magnolia']",IL
319,Dane County Coliseum,Madison,USA,1978-02-03,1978,"['cold rain and snow', 'mexicali blues', 'big river', 'they love each other', 'looks like rain', 'loser', 'passenger', 'brown eyed women', 'el paso', 'peggy-o', 'music never stopped', ""good lovin'"", 'ship of fools', 'estimated prophet', 'eyes of the world', ""playin' in the band"", 'the wheel', ""playin' in the band"", 'johnny b. goode']",WI
320,Milwaukee Auditorium,Milwaukee,USA,1978-02-04,1978,"['jack straw', 'tennessee jed', 'mama tried', 'me and my uncle', 'row jimmy', 'beat it on down the line', 'candyman', ""it's all over now"", 'deal', 'samson and delilah', ""dupree's diamond blues"", ""dancin' in the streets"", 'terrapin station', ""playin' in the band"", 'not fade away', 'black peter', 'around and around', 'one more saturday night']",WI
321,Uni Dome (University of Northern Iowa),Cedar Falls,USA,1978-02-05,1978,"['bertha', ""good lovin'"", 'jack straw', ""good lovin'"", 'el paso', 'tennessee jed', 'new minglewood blues', 'friend of the devil', 'passenger', 'deal', 'scarlet begonias', 'fire on the mountain', 'samson and delilah', 'ship of fools', ""truckin'"", 'drums', 'the other one', 'wharf rat', 'around and around', 'u.s. blues']",IA
322,Curtis Hixon Convention Hall,Tampa,USA,1978-04-06,1978,"['bertha', ""good lovin'"", 'dire wolf', 'me and my uncle', 'big river', 'friend of the devil', 'passenger', 'candyman', ""lazy lightnin'"", 'supplication', 'samson and delilah', 'it must have been the roses', 'estimated prophet', ""he's gone"", 'drums', 'the other one', 'wharf rat', 'around and around', 'u.s. blues']",FL
323,The Sportatorium,Hollywood,USA,1978-04-07,1978,"['promised land', 'sugaree', 'cassidy', 'tennessee jed', 'mama tried', 'mexicali blues', 'peggy-o', 'new minglewood blues', 'loser', 'music never stopped', 'jack straw', 'ship of fools', ""good lovin'"", 'terrapin station', ""playin' in the band"", 'drums', 'not fade away', 'black peter', ""playin' in the band"", 'johnny b. goode']",FL
324,Auditorium Coliseum,Jacksonville,USA,1978-04-08,1978,"['mississippi half-step', 'me and my uncle', 'big river', 'they love each other', 'looks like rain', 'deal', 'el paso', 'it must have been the roses', ""lazy lightnin'"", 'supplication', 'samson and delilah', 'scarlet begonias', 'fire on the mountain', 'estimated prophet', 'eyes of the world', 'drums', 'sugar magnolia', 'one more saturday night']",FL
325,Fox Theater,Atlanta,USA,1978-04-10,1978,"['promised land', 'brown eyed women', ""it's all over now"", 'peggy-o', 'cassidy', 'dire wolf', 'el paso', 'row jimmy', 'passenger', 'candyman', 'music never stopped', 'jack straw', 'ship of fools', ""dancin' in the streets"", 'drums', ""franklin's tower"", 'black peter', 'around and around', 'u.s. blues']",GA
326,Fox Theater,Atlanta,USA,1978-04-11,1978,"['bertha', ""good lovin'"", 'friend of the devil', 'me and my uncle', 'big river', 'tennessee jed', 'looks like rain', 'brown eyed women', 'new minglewood blues', 'deal', 'samson and delilah', 'scarlet begonias', 'fire on the mountain', 'sunrise', 'terrapin station', 'drums', 'iko iko', 'sugar magnolia', 'johnny b. goode']",GA
327,Cameron Indoor Stadium (Duke U),Durham,USA,1978-04-12,1978,"['jack straw', 'dire wolf', 'beat it on down the line', 'peggy-o', 'mama tried', 'mexicali blues', 'funiculi funicula', 'row jimmy', 'new minglewood blues', 'loser', ""lazy lightnin'"", 'supplication', 'bertha', ""good lovin'"", 'it must have been the roses', 'estimated prophet', 'eyes of the world', 'drums', ""truckin'"", 'wharf rat', 'around and around', 'u.s. blues']",NC
328,Virginia Polytechnic University,Blacksburg,USA,1978-04-14,1978,"['promised land', 'tennessee jed', 'me and my uncle', 'big river', 'peggy-o', 'looks like rain', 'dire wolf', ""it's all over now"", ""dupree's diamond blues"", 'music never stopped', 'samson and delilah', 'ship of fools', ""dancin' in the streets"", 'drums', 'the other one', 'black peter', 'sugar magnolia', 'johnny b. goode']",VA
329,William and Mary Hall,Williamsburg,USA,1978-04-15,1978,"['mississippi half-step', 'passenger', 'friend of the devil', 'el paso', 'brown eyed women', 'let it grow', 'deal', 'bertha', ""good lovin'"", 'candyman', 'sunrise', ""playin' in the band"", 'drums', 'not fade away', 'morning dew', 'around and around', 'one more saturday night']",VA
330,Huntington Civic Center,Huntington,USA,1978-04-16,1978,"['jack straw', 'dire wolf', 'cassidy', 'peggy-o', 'mexicali blues', 'mama tried', 'they love each other', 'new minglewood blues', 'scarlet begonias', 'fire on the mountain', 'samson and delilah', 'ship of fools', 'estimated prophet', 'eyes of the world', 'drums', 'iko iko', 'sugar magnolia', 'u.s. blues']",WV
331,Pittsburgh Civic Arena,Pittsburgh,USA,1978-04-18,1978,"['new minglewood blues', 'sugaree', 'looks like rain', 'dire wolf', 'beat it on down the line', 'loser', 'el paso', 'tennessee jed', ""lazy lightnin'"", 'supplication', 'scarlet begonias', ""dancin' in the streets"", 'drums', 'samson and delilah', 'terrapin station', 'around and around', 'u.s. blues']",PA
332,Veterans' Memorial Hall,Colombus,USA,1978-04-19,1978,"['bertha', ""good lovin'"", 'friend of the devil', 'passenger', 'candyman', 'cassidy', 'peggy-o', 'me and my uncle', 'big river', 'deal', 'samson and delilah', 'it must have been the roses', 'estimated prophet', ""he's gone"", 'drums', 'the other one', 'wharf rat', 'around and around', 'werewolves of london']",OH
333,Rupp Arena (Lexington Center),Lexington,USA,1978-04-21,1978,"['promised land', 'dire wolf', 'mama tried', 'mexicali blues', 'ramble on rose', 'funiculi funicula', 'passenger', 'row jimmy', ""it's all over now"", 'brown eyed women', 'music never stopped', 'samson and delilah', 'ship of fools', ""playin' in the band"", 'drums', 'stella blue', ""truckin'"", ""playin' in the band"", 'werewolves of london', 'u.s. blues']",KY
334,Nashville Municipal Auditorium,Nashville,USA,1978-04-22,1978,"['bertha', ""good lovin'"", 'candyman', 'looks like rain', 'tennessee jed', 'jack straw', 'peggy-o', 'new minglewood blues', 'deal', ""lazy lightnin'"", 'supplication', 'it must have been the roses', 'estimated prophet', 'eyes of the world', 'drums', 'not fade away', 'wharf rat', 'sugar magnolia', 'one more saturday night']",TN
335,Horton Field House (Illinois State U),Normal,USA,1978-04-24,1978,"['promised land', 'ramble on rose', 'me and my uncle', 'big river', 'friend of the devil', 'cassidy', 'brown eyed women', 'passenger', 'it must have been the roses', 'music never stopped', 'scarlet begonias', 'fire on the mountain', ""good lovin'"", 'terrapin station', 'drums', 'not fade away', 'black peter', 'around and around', 'werewolves of london']",IL
336,Thompson Arena (Dartmouth College),Hanover,USA,1978-05-05,1978,"['promised land', 'dire wolf', 'cassidy', 'candyman', 'el paso', 'they love each other', 'passenger', 'brown eyed women', ""lazy lightnin'"", 'supplication', 'bertha', ""good lovin'"", 'ship of fools', 'estimated prophet', 'eyes of the world', 'drums', 'not fade away', 'stella blue', 'around and around', 'werewolves of london']",NH
337,Patrick Field House (U of Vermont),Burlington,USA,1978-05-06,1978,"['sugaree', 'new minglewood blues', 'peggy-o', 'beat it on down the line', 'loser', 'looks like rain', 'it must have been the roses', 'me and my uncle', 'big river', 'deal', 'samson and delilah', 'sunrise', 'terrapin station', ""playin' in the band"", 'drums', 'wharf rat', 'sugar magnolia', 'one more saturday night']",VT
338,Field House (Rensselaer Polytechnic Institute),Troy,USA,1978-05-07,1978,"['jack straw', 'dire wolf', 'funiculi funicula', 'mexicali blues', 'mama tried', 'tennessee jed', ""it's all over now"", 'friend of the devil', 'passenger', 'brown eyed women', 'music never stopped', 'scarlet begonias', 'fire on the mountain', 'estimated prophet', ""he's gone"", 'drums', 'iko iko', 'the other one', 'black peter', 'around and around', 'u.s. blues']",NY
339,Onondaga War Memorial Auditorium,Syracuse,USA,1978-05-09,1978,"[""franklin's tower"", 'new minglewood blues', 'row jimmy', 'looks like rain', 'friend of the devil', 'el paso', 'candyman', 'passenger', 'deal', 'samson and delilah', 'ship of fools', ""dancin' in the streets"", 'drums', 'not fade away', 'black peter', 'around and around', 'werewolves of london']",NY
340,Veterans' Memorial Coliseum,New Haven,USA,1978-05-10,1978,"['jack straw', 'they love each other', 'cassidy', 'ramble on rose', 'me and my uncle', 'big river', 'peggy-o', 'let it grow', 'deal', 'bertha', ""good lovin'"", 'it must have been the roses', 'estimated prophet', 'eyes of the world', 'drums', 'the other one', 'wharf rat', 'sugar magnolia', 'u.s. blues']",CT
341,Springfield Civic Center,Springfield,USA,1978-05-11,1978,"['cold rain and snow', 'beat it on down the line', 'friend of the devil', 'looks like rain', 'loser', 'mexicali blues', 'mama tried', 'tennessee jed', 'new minglewood blues', 'peggy-o', ""lazy lightnin'"", 'supplication', 'scarlet begonias', 'fire on the mountain', ""dancin' in the streets"", 'drums', 'not fade away', 'stella blue', 'around and around', 'werewolves of london', 'johnny b. goode']",MA
342,The Spectrum,Philadelphia,USA,1978-05-13,1978,"['jack straw', 'dire wolf', 'beat it on down the line', 'peggy-o', 'el paso', 'row jimmy', 'new minglewood blues', 'candyman', 'music never stopped', 'bertha', ""good lovin'"", 'terrapin station', ""playin' in the band"", 'drums', ""truckin'"", 'black peter', 'sugar magnolia', 'one more saturday night']",PA
343,Providence Civic Center,Providence,USA,1978-05-14,1978,"['mississippi half-step', 'cassidy', 'they love each other', 'looks like rain', 'it must have been the roses', 'me and my uncle', 'big river', 'brown eyed women', 'let it grow', 'samson and delilah', 'ship of fools', 'estimated prophet', 'eyes of the world', 'drums', 'not fade away', ""goin' down the road feelin' bad"", 'around and around', 'u.s. blues']",RI
344,Uptown Theater,Chicago,USA,1978-05-16,1978,"['jack straw', 'dire wolf', 'mexicali blues', 'mama tried', 'peggy-o', 'cassidy', 'row jimmy', 'passenger', 'music never stopped', 'scarlet begonias', 'fire on the mountain', 'el paso', 'ship of fools', 'estimated prophet', ""he's gone"", 'drums', 'comes a time', 'sugar magnolia', 'johnny b. goode']",IL
345,Uptown Theater,Chicago,USA,1978-05-17,1978,"['mississippi half-step', ""franklin's tower"", 'me and my uncle', 'big river', 'it must have been the roses', 'looks like rain', 'tennessee jed', ""lazy lightnin'"", 'supplication', 'samson and delilah', 'friend of the devil', ""dancin' in the streets"", 'drums', 'terrapin station', 'not fade away', 'around and around', 'werewolves of london']",IL
346,Campus Stadium (UC Santa Barbara),Goleta,USA,1978-06-04,1978,"['bertha', ""good lovin'"", 'dire wolf', 'me and my uncle', 'big river', 'brown eyed women', 'looks like rain', 'tennessee jed', 'jack straw', 'samson and delilah', 'ship of fools', 'estimated prophet', 'eyes of the world', 'drums', 'not fade away', ""nobody's jam"", 'not fade away', ""goin' down the road feelin' bad"", 'around and around', 'u.s. blues', 'sugar magnolia']",CA
